accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K13126						polyadenylate-binding protein	K13126
K13127						RING finger protein 113A	K13127
K13130						gem associated protein 2	K13130
K13137						serine-threonine kinase receptor-associated protein	K13137
K13171						serine/arginine repetitive matrix protein 1	K13171
K13174						THO complex subunit 5	K13174
K13176						THO complex subunit 7	K13176
K13181						ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]	K13181
K13192						RNA-binding protein 26	K13192
K13195						cold-inducible RNA-binding protein	K13195
K13201						nucleolysin TIA-1/TIAR	K13201
K13205						A1 cistron-splicing factor AAR2	K13205
K13206						coiled-coil domain-containing protein 55	K13206
K13210						far upstream element-binding protein	K13210
K13212						RNA-binding protein Luc7-like 2	K13212
K13217						pre-mRNA-processing factor 39	K13217
K13220						WW domain-binding protein 4	K13220
K13236						"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]"	K13236
K13237						"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], peroxisomal [EC:1.3.1.124]"	K13237
K13238						Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	K13238
K13243						c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]	K13243
K13247						L-gulonate 3-dehydrogenase [EC:1.1.1.45]	K13247
K13255						ferric iron reductase protein FhuF	K13255
K13256						protein PsiE	K13256
K13274						cell wall-associated protease [EC:3.4.21.-]	K13274
K13278						60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]	K13278
K13280						signal peptidase I [EC:3.4.21.89]	K13280
K13281						UV DNA damage endonuclease [EC:3.-.-.-]	K13281
K13282						cyanophycinase [EC:3.4.15.6]	K13282
K13283						ferrous-iron efflux pump FieF	K13283
K13288						oligoribonuclease [EC:3.1.-.-]	K13288
K13289						cathepsin A (carboxypeptidase C) [EC:3.4.16.5]	K13289
K13291						terminal uridylyltransferase [EC:2.7.7.52]	K13291
K13292						phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	K13292
K13299						glutathione S-transferase kappa 1 [EC:2.5.1.18]	K13299
K13300						cytochrome c550	K13300
K13303						serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]	K13303
K13315						"NDP-hexose C3-ketoreductase / dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene 2,3-reductase [EC:1.1.1.-]"	K13315
K13327						"dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase [EC:1.1.1.384]"	K13327
K13333						lysophospholipase [EC:3.1.1.5]	K13333
K13335						peroxin-16	K13335
K13336						peroxin-3	K13336
K13337						peroxin-19	K13337
K13338						peroxin-1	K13338
K13339						peroxin-6	K13339
K13342						peroxin-5	K13342
K13344						peroxin-13	K13344
K13345						peroxin-12	K13345
K13346						peroxin-10	K13346
K13348						protein Mpv17	K13348
K13350						peroxisomal membrane protein 4	K13350
K13354						"solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17"	K13354
K13355						"nucleoside diphosphate-linked moiety X motif 19, mitochondrial [EC:3.6.1.-]"	K13355
K13356						alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]	K13356
K13366						polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-]	K13366
K13367						polyamine oxidase [EC:1.5.3.17]	K13367
K13378						NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]	K13378
K13379						reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]	K13379
K13381						bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]	K13381
K13408						membrane fusion protein	K13408
K13409						"ATP-binding cassette, subfamily B, bacterial RaxB"	K13409
K13419						serine/threonine-protein kinase PknK [EC:2.7.11.1]	K13419
K13421						uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]	K13421
K13431						signal recognition particle receptor subunit alpha	K13431
K13444						formylglycine-generating enzyme [EC:1.8.3.7]	K13444
K13448						calcium-binding protein CML	K13448
K13449						pathogenesis-related protein 1	K13449
K13472						sulfotransferase	K13472
K13479						xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]	K13479
K13481						xanthine dehydrogenase small subunit [EC:1.17.1.4]	K13481
K13482						xanthine dehydrogenase large subunit [EC:1.17.1.4]	K13482
K13483						xanthine dehydrogenase YagT iron-sulfur-binding subunit	K13483
K13484						5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]	K13484
K13485						2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]	K13485
K13486						chemotaxis protein methyltransferase WspC	K13486
K13487						methyl-accepting chemotaxis protein WspA	K13487
K13488						chemotaxis-related protein WspB	K13488
K13489						chemotaxis-related protein WspD	K13489
K13490						"two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE"	K13490
K13491						"two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]"	K13491
K13498						indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]	K13498
K13503						anthranilate synthase [EC:4.1.3.27]	K13503
K13507						glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]	K13507
K13511						monolysocardiolipin acyltransferase [EC:2.3.1.-]	K13511
K13513						lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]	K13513
K13519						lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]	K13519
K13522						bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]	K13522
K13524						4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	K13524
K13527						proteasome-associated ATPase	K13527
K13529						"AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"	K13529
K13530						"AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase [EC:2.1.1.-]"	K13530
K13532						"two-component system, sporulation sensor kinase D [EC:2.7.13.3]"	K13532
K13535						cardiolipin-specific phospholipase [EC:3.1.1.-]	K13535
K13540						precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]	K13540
K13542						uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]	K13542
K13543						uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]	K13543
K13566						omega-amidase [EC:3.5.1.3]	K13566
K13570						prokaryotic ubiquitin-like protein Pup	K13570
K13571						proteasome accessory factor A [EC:6.3.1.19]	K13571
K13572						proteasome accessory factor B	K13572
K13573						proteasome accessory factor C	K13573
K13574						hydroxycarboxylate dehydrogenase B [EC:1.1.1.237 1.1.1.-]	K13574
K13577						"solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10"	K13577
K13580						magnesium chelatase subunit ChlD-like protein	K13580
K13581						modification methylase [EC:2.1.1.72]	K13581
K13582						localization factor PodJL	K13582
K13583						GcrA cell cycle regulator	K13583
K13584						"two-component system, cell cycle response regulator CtrA"	K13584
K13585						holdfast attachment protein HfaA	K13585
K13586						holdfast attachment protein HfaB	K13586
K13587						"two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]"	K13587
K13588						histidine phosphotransferase ChpT	K13588
K13589						"two-component system, cell cycle response regulator CpdR"	K13589
K13590						diguanylate cyclase [EC:2.7.7.65]	K13590
K13592						regulator of CtrA degradation	K13592
K13593						"cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF"	K13593
K13598						"two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]"	K13598
K13599						"two-component system, NtrC family, nitrogen regulation response regulator NtrX"	K13599
K13600						chlorophyllide a oxygenase [EC:1.14.13.122]	K13600
K13609						delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]	K13609
K13612						polyketide synthase PksL	K13612
K13617						protein phosphatase methylesterase 1 [EC:3.1.1.89]	K13617
K13621						betaine lipid synthase	K13621
K13622						S-adenosylmethionine-diacylglycerol 3-amino-3-carboxypropyl transferase	K13622
K13623						S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase	K13623
K13626						flagellar assembly factor FliW	K13626
K13628						iron-sulfur cluster assembly protein	K13628
K13633						"AraC family transcriptional regulator, transcriptional activator FtrA"	K13633
K13634						"LysR family transcriptional regulator, cys regulon transcriptional activator"	K13634
K13635						"LysR family transcriptional regulator, cys regulon transcriptional activator"	K13635
K13638						"MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA"	K13638
K13639						"MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR"	K13639
K13640						"MerR family transcriptional regulator, heat shock protein HspR"	K13640
K13641						"IclR family transcriptional regulator, acetate operon repressor"	K13641
K13642						"CRP/FNR family transcriptional regulator, transcriptional activator FtrB"	K13642
K13643						"Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"	K13643
K13651						motility quorum-sensing regulator / GCU-specific mRNA interferase toxin	K13651
K13652						AraC family transcriptional regulator	K13652
K13653						AraC family transcriptional regulator	K13653
K13654						"GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator"	K13654
K13655						HTH-type transcriptional regulator / antitoxin MqsA	K13655
K13657						"alpha-1,3-mannosyltransferase [EC:2.4.1.252]"	K13657
K13658						"beta-1,4-mannosyltransferase [EC:2.4.1.251]"	K13658
K13659						2-beta-glucuronyltransferase [EC:2.4.1.264]	K13659
K13660						"beta-1,4-glucosyltransferase [EC:2.4.1.-]"	K13660
K13662						putative polymerase	K13662
K13665						pyruvyltransferase	K13665
K13667						EGF-domain serine glucosyl/xylosyltransferase [EC:2.4.1.376 2.4.2.63]	K13667
K13668						phosphatidyl-myo-inositol dimannoside synthase [EC:2.4.1.346]	K13668
K13669						"alpha-1,2-mannosyltransferase [EC:2.4.1.-]"	K13669
K13670						putative glycosyltransferase [EC:2.4.-.-]	K13670
K13671						"alpha-1,2-mannosyltransferase [EC:2.4.1.-]"	K13671
K13682						"beta-1,2-mannosyltransferase [EC:2.4.1.-]"	K13682
K13686						galactan 5-O-arabinofuranosyltransferase [EC:2.4.2.46]	K13686
K13687						arabinofuranosyltransferase [EC:2.4.2.-]	K13687
K13688						"cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]"	K13688
K13690						"alpha-1,3-mannosyltransferase [EC:2.4.1.-]"	K13690
K13693						glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	K13693
K13702						abhydrolase domain-containing protein 10 [EC:3.1.1.93]	K13702
K13704						abhydrolase domain-containing protein 12 [EC:3.1.1.23]	K13704
K13706						abhydrolase domain-containing protein 14	K13706
K13711						phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]	K13711
K13719						ubiquitin thioesterase OTU1 [EC:3.1.2.-]	K13719
K13728						mitotic spindle assembly checkpoint protein MAD2B	K13728
K13730						internalin A	K13730
K13735						adhesin/invasin	K13735
K13745						"L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]"	K13745
K13747						carboxynorspermidine decarboxylase [EC:4.1.1.96]	K13747
K13754						"solute carrier family 24 (sodium/potassium/calcium exchanger), member 6"	K13754
K13766						methylglutaconyl-CoA hydratase [EC:4.2.1.18]	K13766
K13767						enoyl-CoA hydratase [EC:4.2.1.17]	K13767
K13770						"TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein"	K13770
K13771						"Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor"	K13771
K13774						citronellol/citronellal dehydrogenase	K13774
K13775						citronellol/citronellal dehydrogenase	K13775
K13776						citronellyl-CoA synthetase [EC:6.2.1.-]	K13776
K13777						geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]	K13777
K13778						geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]	K13778
K13779						isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]	K13779
K13787						"geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]"	K13787
K13788						phosphate acetyltransferase [EC:2.3.1.8]	K13788
K13789						"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"	K13789
K13795						citrate/tricarballylate utilization protein	K13795
K13796						tricarballylate dehydrogenase	K13796
K13800						UMP-CMP kinase [EC:2.7.4.14]	K13800
K13806						sn1-specific diacylglycerol lipase [EC:3.1.1.-]	K13806
K13810						transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]	K13810
K13816						DSF synthase	K13816
K13821						"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"	K13821
K13829						shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]	K13829
K13832						3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]	K13832
K13853						3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]	K13853
K13874						L-arabinonolactonase [EC:3.1.1.15]	K13874
K13875						L-arabonate dehydrase [EC:4.2.1.25]	K13875
K13876						2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]	K13876
K13877						"2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"	K13877
K13888						"membrane fusion protein, macrolide-specific efflux system"	K13888
K13891						glutathione transport system permease protein	K13891
K13893						microcin C transport system substrate-binding protein	K13893
K13894						microcin C transport system permease protein	K13894
K13895						microcin C transport system permease protein	K13895
K13896						microcin C transport system ATP-binding protein	K13896
K13920						propanediol dehydratase small subunit [EC:4.2.1.28]	K13920
K13924						"two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]"	K13924
K13926						ribosome-dependent ATPase	K13926
K13929						malonate decarboxylase alpha subunit [EC:2.3.1.187]	K13929
K13930						triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	K13930
K13931						malonate decarboxylase delta subunit	K13931
K13932						malonate decarboxylase beta subunit [EC:4.1.1.87]	K13932
K13933						malonate decarboxylase gamma subunit [EC:4.1.1.87]	K13933
K13934						phosphoribosyl-dephospho-CoA transferase [EC:2.7.7.66]	K13934
K13935						malonate decarboxylase epsilon subunit [EC:2.3.1.39]	K13935
K13936						malonate transporter and related proteins	K13936
K13950						para-aminobenzoate synthetase [EC:2.6.1.85]	K13950
K13953						"alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	K13953
K13954						alcohol dehydrogenase [EC:1.1.1.1]	K13954
K13955						zinc-binding alcohol dehydrogenase/oxidoreductase	K13955
K13963						serpin B	K13963
K13979						alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	K13979
K13985						N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]	K13985
K13989						Derlin-2/3	K13989
K13990						glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]	K13990
K13991						photosynthetic reaction center H subunit	K13991
K13992						photosynthetic reaction center cytochrome c subunit	K13992
K13993						HSP20 family protein	K13993
K13995						maleamate amidohydrolase [EC:3.5.1.107]	K13995
K13996						protein disulfide-isomerase [EC:5.3.4.1]	K13996
K14002						DnaJ-related protein SCJ1	K14002
K14003						prolactin regulatory element-binding protein	K14003
K14004						protein transport protein SEC13	K14004
K14005						protein transport protein SEC31	K14005
K14006						protein transport protein SEC23	K14006
K14007						protein transport protein SEC24	K14007
K14009						B-cell receptor-associated protein 31	K14009
K14012						UBX domain-containing protein 1	K14012
K14015						nuclear protein localization protein 4 homolog	K14015
K14016						ubiquitin fusion degradation protein 1	K14016
K14018						phospholipase A-2-activating protein	K14018
